geoid,geoid20,year,tot_units_count,li_units_count
1400000US06037101110,6037101110,2019,0,0
1400000US06037101122,6037101122,2019,0,0
1400000US06037101220,6037101220,2019,0,0
1400000US06037101221,6037101221,2019,0,0
1400000US06037101222,6037101222,2019,0,0
1400000US06037101300,6037101300,2019,0,0
1400000US06037101400,6037101400,2019,46,45
1400000US06037102103,6037102103,2019,0,0
1400000US06037102104,6037102104,2019,0,0
1400000US06037102105,6037102105,2019,0,0
1400000US06037102107,6037102107,2019,0,0
1400000US06037103101,6037103101,2019,0,0
1400000US06037103102,6037103102,2019,82,81
1400000US06037103201,6037103201,2019,0,0
1400000US06037103202,6037103202,2019,0,0
1400000US06037103300,6037103300,2019,0,0
1400000US06037103401,6037103401,2019,0,0
1400000US06037103402,6037103402,2019,0,0
1400000US06037104103,6037104103,2019,0,0
1400000US06037104105,6037104105,2019,480,475
1400000US06037104108,6037104108,2019,49,48
1400000US06037104124,6037104124,2019,0,0
1400000US06037104201,6037104201,2019,0,0
1400000US06037104203,6037104203,2019,0,0
1400000US06037104204,6037104204,2019,0,0
1400000US06037104310,6037104310,2019,0,0
1400000US06037104321,6037104321,2019,0,0
1400000US06037104322,6037104322,2019,0,0
1400000US06037104401,6037104401,2019,0,0
1400000US06037104403,6037104403,2019,0,0
1400000US06037104404,6037104404,2019,0,0
1400000US06037104500,6037104500,2019,0,0
1400000US06037104610,6037104610,2019,0,0
1400000US06037104620,6037104620,2019,0,0
1400000US06037104701,6037104701,2019,0,0
1400000US06037104703,6037104703,2019,64,62
1400000US06037104704,6037104704,2019,51,50
1400000US06037104821,6037104821,2019,80,79
1400000US06037104822,6037104822,2019,0,0
1400000US06037104823,6037104823,2019,0,0
1400000US06037104824,6037104824,2019,0,0
1400000US06037106010,6037106010,2019,0,0
1400000US06037106020,6037106020,2019,0,0
1400000US06037106111,6037106111,2019,0,0
1400000US06037106112,6037106112,2019,0,0
1400000US06037106113,6037106113,2019,0,0
